#COMBINATION;FREQ1;FREQ2;ORDER1;ORDER2;SIGN
2.93019E10;2.06243E10;3.2571E10;3;1;-
2.8247E10;2.0329E10;3.274E10;3;1;-
1.4138E10;3.2742E10;2.1022E10;3;4;-
2.913297E10;2.062499E10;3.2742E10;3;1;-
2.919795E10;2.062465E10;3.2676E10;3;1;-
2.926592E10;2.062464E10;3.2608E10;3;1;-
2.93309E10;2.06243E10;3.2542E10;3;1;-
2.912853E10;2.062351E10;3.2742E10;3;1;-
2.926071E10;2.062457E10;3.2613E10;3;1;-
2.935913E10;2.062471E10;3.2515E10;3;1;-
2.8276E10;2.0339E10;3.2741E10;3;1;-
2.919351E10;2.062417E10;3.2679E10;3;1;-
2.919872E10;2.062424E10;3.2674E10;3;1;-
2.917339E10;2.062413E10;3.2699E10;3;1;-
2.923837E10;2.062479E10;3.2636E10;3;1;-
2.914516E10;2.062472E10;3.2729E10;3;1;-
2.930557E10;2.062419E10;3.2567E10;3;1;-
2.921014E10;2.062438E10;3.2663E10;3;1;-
2.8948E10;2.0563E10;3.2741E10;3;1;-
1.4306E10;3.2742E10;2.098E10;3;4;-
2.8583E10;2.0441E10;3.274E10;3;1;-
2.916895E10;2.062465E10;3.2705E10;3;1;-
2.917416E10;2.062472E10;3.27E10;3;1;-
2.933457E10;2.062419E10;3.2538E10;3;1;-
2.930634E10;2.062478E10;3.2568E10;3;1;-
1.4474E10;3.2742E10;2.0938E10;3;4;-
2.8612E10;2.0451E10;3.2741E10;3;1;-
2.923914E10;2.062438E10;3.2634E10;3;1;-
2.93512E10;2.06244E10;3.2522E10;3;1;-
2.8919E10;2.0553E10;3.274E10;3;1;-
2.928178E10;2.062426E10;3.2591E10;3;1;-
2.931427E10;2.062409E10;3.2558E10;3;1;-
2.934676E10;2.062492E10;3.2528E10;3;1;-
2.924707E10;2.062469E10;3.2627E10;3;1;-
2.91496E10;2.06242E10;3.2723E10;3;1;-
2.918209E10;2.062403E10;3.269E10;3;1;-
2.921458E10;2.062486E10;3.266E10;3;1;-
2.927734E10;2.062478E10;3.2597E10;3;1;-
2.930983E10;2.062461E10;3.2564E10;3;1;-
2.925944E10;2.062448E10;3.2614E10;3;1;-
2.915753E10;2.062451E10;3.2716E10;3;1;-
2.919002E10;2.062434E10;3.2683E10;3;1;-
2.922251E10;2.062417E10;3.265E10;3;1;-
2.928971E10;2.062457E10;3.2584E10;3;1;-
2.93222E10;2.06244E10;3.2551E10;3;1;-
2.935469E10;2.062423E10;3.2518E10;3;1;-
2.9255E10;2.0625E10;3.262E10;3;1;-
2.915309E10;2.062403E10;3.2719E10;3;1;-
2.918558E10;2.062486E10;3.2689E10;3;1;-
2.921807E10;2.062469E10;3.2656E10;3;1;-
2.928527E10;2.062409E10;3.2587E10;3;1;-
2.923375E10;2.062425E10;3.2639E10;3;1;-
2.917398E10;2.062466E10;3.27E10;3;1;-
1.4072E10;3.274E10;2.1037E10;3;4;-
2.932179E10;2.062493E10;3.2553E10;3;1;-
2.925976E10;2.062492E10;3.2615E10;3;1;-
2.930693E10;2.062431E10;3.2566E10;3;1;-
2.93667E10;2.06249E10;3.2508E10;3;1;-
2.925459E10;2.062453E10;3.2619E10;3;1;-
2.917996E10;2.062432E10;3.2693E10;3;1;-
2.923973E10;2.062491E10;3.2635E10;3;1;-
2.8144E10;2.0295E10;3.2741E10;3;1;-
2.919256E10;2.062452E10;3.2681E10;3;1;-
2.91651E10;2.06247E10;3.2709E10;3;1;-
2.913569E10;2.062423E10;3.2737E10;3;1;-
2.919546E10;2.062482E10;3.2679E10;3;1;-
2.924263E10;2.062421E10;3.263E10;3;1;-
2.918286E10;2.062462E10;3.2691E10;3;1;-
2.932841E10;2.062447E10;3.2545E10;3;1;-
2.926864E10;2.062488E10;3.2606E10;3;1;-
2.920144E10;2.062448E10;3.2672E10;3;1;-
2.918884E10;2.062428E10;3.2684E10;3;1;-
2.924861E10;2.062487E10;3.2626E10;3;1;-
2.931581E10;2.062427E10;3.2557E10;3;1;-
2.930095E10;2.062465E10;3.2573E10;3;1;-
1.3846E10;3.2742E10;2.1095E10;3;4;-
2.920434E10;2.062478E10;3.267E10;3;1;-
2.919174E10;2.062458E10;3.2682E10;3;1;-
2.923683E10;2.062461E10;3.2637E10;3;1;-
2.922423E10;2.062441E10;3.2649E10;3;1;-
2.929143E10;2.062481E10;3.2583E10;3;1;-
2.921032E10;2.062444E10;3.2663E10;3;1;-
2.927752E10;2.062484E10;3.2597E10;3;1;-
2.931001E10;2.062467E10;3.2564E10;3;1;-
2.926266E10;2.062422E10;3.261E10;3;1;-
2.929515E10;2.062405E10;3.2577E10;3;1;-
2.928255E10;2.062485E10;3.2592E10;3;1;-
2.924281E10;2.062427E10;3.263E10;3;1;-
2.921322E10;2.062474E10;3.2661E10;3;1;-
2.924571E10;2.062457E10;3.2628E10;3;1;-
2.928042E10;2.062414E10;3.2592E10;3;1;-
2.931291E10;2.062497E10;3.2562E10;3;1;-
